Player,Trait,RateTop4,Level
Exoddia#MOGe,Ascendant,"100,00%","9,00"
Exoddia#MOGe,Chainbreaker,"100,00%","9,00"
Exoddia#MOGe,Heroic,"100,00%","9,00"
Exoddia#MOGe,Riftscourge,"100,00%","10,00"
Exoddia#MOGe,Rune Mage,"100,00%","9,38"
Exoddia#MOGe,Emperor,"90,91%","9,09"
Exoddia#MOGe,Shurima,"90,91%","9,09"
Exoddia#MOGe,Dragonborn,"81,82%","9,14"
Exoddia#MOGe,Eternal,"80,00%","9,35"
Exoddia#MOGe,Targon,"72,73%","8,91"
Exoddia#MOGe,Glutton,"66,67%","9,25"
Exoddia#MOGe,Soulbound,"66,67%","9,17"
Exoddia#MOGe,Quickstriker,"64,29%","8,95"
Exoddia#MOGe,Blacksmith,"62,50%","9,25"
Exoddia#MOGe,Disruptor,"60,71%","8,89"
Exoddia#MOGe,Darkin,"60,00%","9,00"
Exoddia#MOGe,Freljord,"60,00%","8,98"
Exoddia#MOGe,Shadow Isles,"60,00%","8,80"
Exoddia#MOGe,The Boss,"60,00%","9,20"
Exoddia#MOGe,Warden,"59,38%","8,97"
Exoddia#MOGe,Harvester,"58,82%","9,12"
Exoddia#MOGe,Gunslinger,"56,76%","8,86"
Exoddia#MOGe,Noxus,"56,41%","8,77"
Exoddia#MOGe,Piltover,"55,56%","8,59"
Exoddia#MOGe,Bilgewater,"55,00%","8,95"
Exoddia#MOGe,Juggernaut,"52,83%","8,72"
Exoddia#MOGe,Caretaker,"50,00%","8,00"
Exoddia#MOGe,Chronokeeper,"50,00%","9,00"
Exoddia#MOGe,Defender,"50,00%","8,63"
Exoddia#MOGe,HexMech,"50,00%","9,50"
Exoddia#MOGe,Ixtal,"50,00%","8,60"
Exoddia#MOGe,Zaun,"50,00%","8,61"
Exoddia#MOGe,Ionia,"48,39%","8,68"
Exoddia#MOGe,Bruiser,"46,34%","8,90"
Exoddia#MOGe,Vanquisher,"45,71%","8,80"
Exoddia#MOGe,Dark Child,"45,45%","8,95"
Exoddia#MOGe,Arcanist,"44,00%","8,52"
Exoddia#MOGe,Yordle,"41,94%","8,52"
Exoddia#MOGe,Invoker,"40,00%","8,60"
Exoddia#MOGe,Assimilator,"33,33%","8,67"
Exoddia#MOGe,Longshot,"33,33%","8,27"
Exoddia#MOGe,Void,"33,33%","8,67"
Exoddia#MOGe,Slayer,"26,32%","8,32"
Exoddia#MOGe,Huntress,"20,00%","8,00"
Exoddia#MOGe,Demacia,"14,29%","7,86"
