Player,Trait,RateTop4,Dmg To Players
Exoddia#MOGe,Riftscourge,"100,00%","252,00"
Exoddia#MOGe,Rune Mage,"100,00%","159,63"
Exoddia#MOGe,The Boss,"60,00%","149,60"
Exoddia#MOGe,Eternal,"80,00%","144,55"
Exoddia#MOGe,Darkin,"60,00%","143,20"
Exoddia#MOGe,Dragonborn,"81,82%","137,64"
Exoddia#MOGe,Emperor,"90,91%","136,91"
Exoddia#MOGe,Shurima,"90,91%","136,91"
Exoddia#MOGe,Glutton,"66,67%","130,67"
Exoddia#MOGe,Targon,"72,73%","126,27"
Exoddia#MOGe,Assimilator,"33,33%","126,00"
Exoddia#MOGe,Void,"33,33%","126,00"
Exoddia#MOGe,Soulbound,"66,67%","124,17"
Exoddia#MOGe,Quickstriker,"64,29%","123,48"
Exoddia#MOGe,Freljord,"60,00%","119,62"
Exoddia#MOGe,Ascendant,"100,00%","119,00"
Exoddia#MOGe,Blacksmith,"62,50%","117,38"
Exoddia#MOGe,Bilgewater,"55,00%","116,95"
Exoddia#MOGe,Harvester,"58,82%","113,94"
Exoddia#MOGe,Gunslinger,"56,76%","111,95"
Exoddia#MOGe,Juggernaut,"52,83%","111,74"
Exoddia#MOGe,Bruiser,"46,34%","111,71"
Exoddia#MOGe,Disruptor,"60,71%","111,50"
Exoddia#MOGe,Warden,"59,38%","110,78"
Exoddia#MOGe,Noxus,"56,41%","110,41"
Exoddia#MOGe,Ionia,"48,39%","103,03"
Exoddia#MOGe,Chainbreaker,"100,00%","101,00"
Exoddia#MOGe,Heroic,"100,00%","101,00"
Exoddia#MOGe,Vanquisher,"45,71%","100,94"
Exoddia#MOGe,Defender,"50,00%","100,73"
Exoddia#MOGe,Caretaker,"50,00%","100,00"
Exoddia#MOGe,Piltover,"55,56%","99,70"
Exoddia#MOGe,Ixtal,"50,00%","98,07"
Exoddia#MOGe,Zaun,"50,00%","97,79"
Exoddia#MOGe,HexMech,"50,00%","97,50"
Exoddia#MOGe,Arcanist,"44,00%","97,20"
Exoddia#MOGe,Yordle,"41,94%","96,65"
Exoddia#MOGe,Dark Child,"45,45%","95,95"
Exoddia#MOGe,Invoker,"40,00%","92,80"
Exoddia#MOGe,Slayer,"26,32%","86,79"
Exoddia#MOGe,Shadow Isles,"60,00%","86,20"
Exoddia#MOGe,Chronokeeper,"50,00%","86,00"
Exoddia#MOGe,Longshot,"33,33%","84,67"
Exoddia#MOGe,Huntress,"20,00%","74,20"
Exoddia#MOGe,Demacia,"14,29%","58,43"
