player_nick,Units_RateTop4,character,item
Exoddia#MOGe,"50,00%",TFT16_Ahri,TFT_Item_HextechGunblade
Exoddia#MOGe,"100,00%",TFT16_Ambessa,TFT_Item_AdaptiveHelm
Exoddia#MOGe,"60,00%",TFT16_Ambessa,TFT_Item_Bloodthirster
Exoddia#MOGe,"100,00%",TFT16_Ambessa,TFT_Item_ForceOfNature
Exoddia#MOGe,"50,00%",TFT16_Ambessa,TFT_Item_FrozenHeart
Exoddia#MOGe,"33,33%",TFT16_Ambessa,TFT_Item_InfinityEdge
Exoddia#MOGe,"66,67%",TFT16_Ambessa,TFT_Item_Quicksilver
Exoddia#MOGe,"100,00%",TFT16_Ambessa,TFT_Item_RunaansHurricane
Exoddia#MOGe,"100,00%",TFT16_Ambessa,TFT_Item_ThiefsGloves
Exoddia#MOGe,"100,00%",TFT16_Ambessa,TFT_Item_TitansResolve
Exoddia#MOGe,"100,00%",TFT16_Ambessa,TFT_Item_WarmogsArmor
Exoddia#MOGe,"44,44%",TFT16_Annie,TFT_Item_AdaptiveHelm
Exoddia#MOGe,"100,00%",TFT16_Annie,TFT_Item_Artifact_Dawncore
Exoddia#MOGe,"100,00%",TFT16_Annie,TFT_Item_Artifact_EternalPact
Exoddia#MOGe,"42,86%",TFT16_Annie,TFT_Item_BlueBuff
Exoddia#MOGe,"25,00%",TFT16_Annie,TFT_Item_JeweledGauntlet
Exoddia#MOGe,"100,00%",TFT16_Annie,TFT_Item_Leviathan
Exoddia#MOGe,"100,00%",TFT16_Annie,TFT_Item_Morellonomicon
Exoddia#MOGe,"43,75%",TFT16_Annie,TFT_Item_SpearOfShojin
Exoddia#MOGe,"50,00%",TFT16_Annie,TFT_Item_StatikkShiv
Exoddia#MOGe,"100,00%",TFT16_AnnieTibbers,TFT_Item_DragonsClaw
Exoddia#MOGe,"75,00%",TFT16_AnnieTibbers,TFT_Item_FrozenHeart
Exoddia#MOGe,"37,50%",TFT16_AnnieTibbers,TFT_Item_GargoyleStoneplate
Exoddia#MOGe,"100,00%",TFT16_AnnieTibbers,TFT_Item_LastWhisper
Exoddia#MOGe,"33,33%",TFT16_AnnieTibbers,TFT_Item_NightHarvester
Exoddia#MOGe,"50,00%",TFT16_AnnieTibbers,TFT_Item_RedBuff
Exoddia#MOGe,"66,67%",TFT16_AnnieTibbers,TFT_Item_Redemption
Exoddia#MOGe,"100,00%",TFT16_AnnieTibbers,TFT_Item_SpectralGauntlet
Exoddia#MOGe,"66,67%",TFT16_AnnieTibbers,TFT_Item_WarmogsArmor
